,position,company,location,min_salary,max_salary,currency,link
0,"Инженер-программист C++, Python",ТОО ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ КАЗАХСТАНА ,Нур-Султан,500000,,KZT,https://hh.ru/vacancy/37027359?query=Python
1,Data аналитик, MANGO OFFICE ,Москва,,,,https://hh.ru/vacancy/37036122?query=Python
2,Middle software developer (ML),ТОО GLOTUS Limited Kazakhstan ,Алматы,,,,https://hh.ru/vacancy/36818921?query=Python
3,Программист (C# / Python / Java / NodeJS),ИП Смелов Владимир Павлович,Москва,70000,140000,руб.,https://hh.ru/vacancy/37342385?query=Python
4,Data Scientist, ЦРТ | Группа компаний ,Санкт-Петербург,,,,https://hh.ru/vacancy/37369353?query=Python
5,Web-аналитик," Риалвеб, Интернет-агентство ",Санкт-Петербург,,,,https://hh.ru/vacancy/37163724?query=Python
6,Python разработчик,ОАО Банк Бай-Тушум ,Бишкек,,,,https://hh.ru/vacancy/37290118?query=Python
7,Инженер-программист группы бизнес аналитики и разработки (BI)," А1. Информационные технологии, телеком ",Минск,,,,https://hh.ru/vacancy/37400322?query=Python
8,QA Automation Engineer,УП Руна Системс ,Минск,,,,https://hh.ru/vacancy/36689982?query=Python
9,Game Tools Developer (World of Tanks)," Wargaming, Minsk (Game Stream) ",Минск,,,,https://hh.ru/vacancy/37400492?query=Python
10,Инженер-программист,ОАО БПС-Сбербанк ,Минск,,,,https://hh.ru/vacancy/37355786?query=Python
11,Специалист по информационной безопасности,ИП Смелов Владимир Павлович,Москва,70000,140000,руб.,https://hh.ru/vacancy/37375980?query=Python
12,Python Developer (Middle/Senior), SoftTeco ,Минск,,,,https://hh.ru/vacancy/37332357?query=Python
13,Marketing Analyst, PRISMA ,Санкт-Петербург,,,,https://hh.ru/vacancy/37361879?query=Python
14,Researcher in Mathematical Modeling and Algorithms,ООО СК хайникс мемори солюшнс Восточная Европа ,Минск,,,,https://hh.ru/vacancy/35441422?query=Python
15,Frontend-разработчик midle (React.js \ ExtJS), CATAPULTO.RU ,Москва,100000,150000,руб.,https://hh.ru/vacancy/37328608?query=Python
16,Старший специалист по тестированию ПО, CBS Interactive ,Москва,,150000,руб.,https://hh.ru/vacancy/37036702?query=Python
17,DevOps-инженер,ООО Торбор-Агро ,Краснодар,60000,120000,руб.,https://hh.ru/vacancy/37335125?query=Python
18,Development Manager,ООО Кайриба Инжиниринг ,Минск,,,,https://hh.ru/vacancy/37168750?query=Python
19,DevOps Engineer, Syberry CIS ,Минск,,,,https://hh.ru/vacancy/36618211?query=Python
20,Старший программист, Снежная Королева ,Москва,,180000,руб.,https://hh.ru/vacancy/36348947?query=Python
21,Сетевой инженер,ООО БайТехСервис ,Минск,,,,https://hh.ru/vacancy/37359751?query=Python
22,Разработчик DWH [id 21076], ПАО «Газпром нефть» ,Санкт-Петербург,,,,https://hh.ru/vacancy/36308035?query=Python
23,DevOps Engineer, APALON ,Минск,,,,https://hh.ru/vacancy/37353951?query=Python
24,Менеджер по управлению рисками,ООО universal sugurta ,Ташкент,,,,https://hh.ru/vacancy/35341930?query=Python
25,Сетевой администратор, ОсОО Кондитерский дом Куликовский ,Новосибирск,35000,45000,KGS,https://hh.ru/vacancy/37328279?query=Python
26,Computer Vision Engineer (C++/Python), Neurus ,Москва,170000,280000,руб.,https://hh.ru/vacancy/37313645?query=Python
27,Разработчик Python / Django,ООО Смартекс ,Москва,150000,200000,руб.,https://hh.ru/vacancy/36876631?query=Python
28,Python разработчик,ООО Константа ,Москва,170000,220000,руб.,https://hh.ru/vacancy/37005696?query=Python
29,Программист Python,ООО Доверенная среда ,Москва,180000,210000,руб.,https://hh.ru/vacancy/36680277?query=Python
30,Python Developer (Django), Muzlab ,Санкт-Петербург,100000,,руб.,https://hh.ru/vacancy/37106283?query=Python
31,Программист C++/Python,АО Интегрис ,Москва,110000,,руб.,https://hh.ru/vacancy/37184106?query=Python
32,Python Data Scientist, Web Interactive World ,Москва,150000,,руб.,https://hh.ru/vacancy/36916080?query=Python
33,Разработчик Python, Vilesse ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/37394225?query=Python
34,Разработчик Python middle/senior, ASD Korea ,Новосибирск,150000,,руб.,https://hh.ru/vacancy/37134788?query=Python
35,Аналитик данных / Data Analyst (Python/R),ООО Софтвайс ,Санкт-Петербург,116000,161000,руб.,https://hh.ru/vacancy/37104093?query=Python
36,Программист Python, Мясоперерабатывающий холдинг АРГО ,Москва,150000,,руб.,https://hh.ru/vacancy/37402770?query=Python
37,"Lead Python Developer (Tallinn, Estonia)", Reinvent Baltics ,Санкт-Петербург,3500,7000,EUR,https://hh.ru/vacancy/37084785?query=Python
38,Backend python/Django разработчик,ООО БОЛЬШАЯ ТРОЙКА ,Москва,120000,200000,руб.,https://hh.ru/vacancy/37005320?query=Python
39,Senior Data Scientist, Gradient ,Москва,300000,,руб.,https://hh.ru/vacancy/37294434?query=Python
40,Вакансия backend разработчика (Python),ООО Серверные Технологии ,Москва,1000,1600,USD,https://hh.ru/vacancy/37250261?query=Python
41,Senior Python developer, NetworkOptix ,Москва,4000,,USD,https://hh.ru/vacancy/30005963?query=Python
42,"Backend Developer (python/go, Удалённо)", DEEP & HARD ,Москва,160000,,руб.,https://hh.ru/vacancy/37403087?query=Python
43,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Москва,200000,,руб.,https://hh.ru/vacancy/36444270?query=Python
44,Python developer, B2Broker Санкт-Петербург ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/36267290?query=Python
45,Python senior developer, BestDoctor ,Москва,180000,250000,руб.,https://hh.ru/vacancy/37115745?query=Python
46,QA Automation Engineer (Python), NetworkOptix ,Москва,3000,,USD,https://hh.ru/vacancy/35419959?query=Python
47,Data Engineer (Python),ООО КИБЕРТОНИКА ,Москва,90000,150000,руб.,https://hh.ru/vacancy/36991105?query=Python
48,Программист Python, RU PRO ,Калининград,,,,https://hh.ru/vacancy/37311434?query=Python
49,Backend разработчик на python, ОГО! онлайн-гипермаркет ,Москва,100000,,руб.,https://hh.ru/vacancy/37161562?query=Python
50,Backend Python разработчик, ТРИНИТИ ,Санкт-Петербург,120000,150000,руб.,https://hh.ru/vacancy/37243431?query=Python
51,Разработчик Python, Vilesse ,Москва,150000,200000,руб.,https://hh.ru/vacancy/37415007?query=Python
52,Python developer (удаленно), B2Broker Санкт-Петербург ,Томск,150000,200000,руб.,https://hh.ru/vacancy/37227127?query=Python
53,Data Scientist,ООО Варити ,Москва,130000,,руб.,https://hh.ru/vacancy/37054908?query=Python
54,Backend Python разработчик,ООО Юнайтед Концептс ,Москва,50000,,руб.,https://hh.ru/vacancy/37328507?query=Python
55,Backend Developer (Python / Go), DEEP & HARD ,Киев,2200,,USD,https://hh.ru/vacancy/37163082?query=Python
56,Python (Django) developer, evrone.ru ,Москва,,180000,руб.,https://hh.ru/vacancy/37293817?query=Python
57,Разработчик Python Backend, Web Interactive World ,Москва,150000,,руб.,https://hh.ru/vacancy/36916013?query=Python
58,Python developer, B2Broker Москва ,Москва,150000,200000,руб.,https://hh.ru/vacancy/36267171?query=Python
59,Middle/Senior python developer,ООО ЭНГРИ ,Москва,120000,200000,руб.,https://hh.ru/vacancy/37197399?query=Python
60,C++/python разработчик,ЗАО НОРСИ-ТРАНС ,Ростов-на-Дону,100000,,руб.,https://hh.ru/vacancy/36742022?query=Python
61,Веб-разработчик в стартап, Фурсов Максим Андреевич,Санкт-Петербург,,,,https://hh.ru/vacancy/37261694?query=Python
62,Программист Python,ООО Точка Оплаты ,Москва,40000,80000,руб.,https://hh.ru/vacancy/37034308?query=Python
63,Программист Python,ООО Трэйд Систем Кодинг ,Сочи,70000,,руб.,https://hh.ru/vacancy/37277427?query=Python
64,Senior Python разработчик, Redsteep ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/36160021?query=Python
65,Программист Python,ООО Телепорт ,Санкт-Петербург,100000,130000,руб.,https://hh.ru/vacancy/36956256?query=Python
66,Программист-стажер (Junior),АО Опытно-конструкторское бюро Электроавтоматика имени П.А. Ефимова ,Санкт-Петербург,,,,https://hh.ru/vacancy/37080806?query=Python
67,Разработчик front-end,АО Данные – центр обработки и автоматизации ,Москва,260000,,руб.,https://hh.ru/vacancy/37391111?query=Python
68,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Нижний,150000,,руб.,https://hh.ru/vacancy/36444269?query=Python
69,Начинающий python backend разработчик, Emphasoft ,Санкт-Петербург,,,,https://hh.ru/vacancy/36774670?query=Python
70,Python разработчик /backend developer (удаленная работа), Family Train Inc ,Санкт-Петербург,100000,140000,руб.,https://hh.ru/vacancy/37249604?query=Python
71,Senior Python developer, First_Line ,Санкт-Петербург,160000,220000,руб.,https://hh.ru/vacancy/37021797?query=Python
72,Программист Python,ООО МИТКОМ ,Пенза,,,,https://hh.ru/vacancy/37311532?query=Python
73,Team lead Python developer, BestDoctor ,Москва,180000,250000,руб.,https://hh.ru/vacancy/37115748?query=Python
74,Python developer удаленно, B2Broker Санкт-Петербург ,Краснодар,150000,200000,руб.,https://hh.ru/vacancy/37227093?query=Python
75,Python Lead Engineer, Spark Equation ,Санкт-Петербург,210000,,руб.,https://hh.ru/vacancy/36712601?query=Python
76,Начинающий python backend разработчик,ООО ВЕБИМ.РУ ,Санкт-Петербург,25000,40000,руб.,https://hh.ru/vacancy/37018429?query=Python
77,Программист Python (разговорный английский),ООО Прикладные технологии ,Екатеринбург,100000,150000,руб.,https://hh.ru/vacancy/36541983?query=Python
78,Разработчик на Python,ООО Телеком-Инжиниринг ,Новосибирск,40000,,руб.,https://hh.ru/vacancy/37317073?query=Python
79,Backend-разработчик / Python developer,ООО Эктострой ,Воронеж,70000,135000,руб.,https://hh.ru/vacancy/37389795?query=Python
80,Python Developer, Abiatec ,Минск,,,,https://hh.ru/vacancy/37394042?query=Python
81,Kotlin python swift разработчик, InterGroup ,Краснодар,15000,230000,руб.,https://hh.ru/vacancy/37314833?query=Python
82,"Системный программист Linux, C++, Go",ООО Бесконтактные устройства ,Москва,110000,190000,руб.,https://hh.ru/vacancy/37098581?query=Python
83,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Санкт-Петербург,150000,,руб.,https://hh.ru/vacancy/36444271?query=Python
84,Python developer удаленно, B2Broker Санкт-Петербург ,Екатеринбург,150000,200000,руб.,https://hh.ru/vacancy/37227103?query=Python
85,Python (Back-end) Developer, BP Mobile ,Минск,,,,https://hh.ru/vacancy/36677020?query=Python
86,Python-разработчик, FunBox ,Москва,100000,,руб.,https://hh.ru/vacancy/36445891?query=Python
87,Python back-end developer (senior), Digital Security ,Санкт-Петербург,150000,,руб.,https://hh.ru/vacancy/37242589?query=Python
88,Python middle developer, BestDoctor ,Москва,120000,160000,руб.,https://hh.ru/vacancy/36449432?query=Python
89,Senior Java Developer (Bioinformatics), Дженстек ,Санкт-Петербург,190000,290000,руб.,https://hh.ru/vacancy/35276136?query=Python
90,Python developer (удаленно), B2Broker Санкт-Петербург ,Новосибирск,150000,200000,руб.,https://hh.ru/vacancy/37227109?query=Python
91,Middle Python/Django разработчик,ООО Юкар ,Хабаровск,80000,,руб.,https://hh.ru/vacancy/36969598?query=Python
92,"Senior Backend Developer (Python, PostgreSQL)",ООО Комплаенс Технологии ,Москва,160000,220000,руб.,https://hh.ru/vacancy/37030619?query=Python
93,Программист Python,ООО НТБ ,Москва,,,,https://hh.ru/vacancy/37413096?query=Python
94,Python developer удаленно, B2Broker Санкт-Петербург ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/37227041?query=Python
95,Senior Python Developer,ООО НИИ ТРАНСМАШ ,Москва,180000,,руб.,https://hh.ru/vacancy/36906273?query=Python
96,Backend Developer \ Бэкенд-разработчик | (Python \ Java), Marlerino Group ,Екатеринбург,,,,https://hh.ru/vacancy/37189895?query=Python
97,Аналитик данных,ООО Неолаб-Нск ,Новосибирск,80000,150000,руб.,https://hh.ru/vacancy/37340935?query=Python
98,Разработчик Python, NAUMEN ,Екатеринбург,,,,https://hh.ru/vacancy/37030539?query=Python
99,Python Junior/Middle Backend Developer, AxisPoint Consulting ,Санкт-Петербург,,,,https://hh.ru/vacancy/37033518?query=Python
100,Data scientist, Билайн ,Москва,,,,https://hh.ru/vacancy/36877389?query=Python
101,Стажер – разработчик,ООО Дата Ист ,Новосибирск,,,,https://hh.ru/vacancy/34290624?query=Python
102,ГИС-технолог (Python),ЗАО Геоцентр-Консалтинг ,Москва,80000,,руб.,https://hh.ru/vacancy/37406327?query=Python
103,Python Developer, Karuna ,Санкт-Петербург,,,,https://hh.ru/vacancy/37033746?query=Python
104,C++ Senior Software Developer,ООО Варити ,Москва,250000,,руб.,https://hh.ru/vacancy/37416700?query=Python
105,QA Engineer (manual),ООО МАКСБИТСОЛЮШЕН ,Минск,,,,https://hh.ru/vacancy/36943076?query=Python
106,Python developer (Middle / Senior), Big Data Solutions ,Санкт-Петербург,,,,https://hh.ru/vacancy/36633468?query=Python
107,Python/Django разработчик,ООО ИДАГРУПП ,Москва,50000,,руб.,https://hh.ru/vacancy/37171979?query=Python
108,Программист Python (разговорный английский),ООО Прикладные технологии ,Челябинск,100000,150000,руб.,https://hh.ru/vacancy/36541868?query=Python
109,Senior C/C++ Developer, Experiment X ,Москва,150000,,руб.,https://hh.ru/vacancy/36693892?query=Python
110,Веб-разработчик Python,ООО Трансфер технологии ,Иркутск,50000,,руб.,https://hh.ru/vacancy/37071780?query=Python
111,Devops Engineer, JustControl.It ,Санкт-Петербург,120000,,руб.,https://hh.ru/vacancy/36875571?query=Python
112,Backend-разработчик, СРФ Разработка,Красноярск,70000,120000,руб.,https://hh.ru/vacancy/37377867?query=Python
113,Senior Python Developer (to Riga), Betby ,Москва,,,,https://hh.ru/vacancy/36950783?query=Python
114,Разработчик Python, ДомКлик ,Москва,,,,https://hh.ru/vacancy/35013498?query=Python
115,Senior FullStack (Django/React) Developer (удаленно), Heartex ,Москва,180000,,руб.,https://hh.ru/vacancy/37295399?query=Python
116,"Инженер по автоматизированному тестированию (QA Automation Engineer) Python, C",ООО АМИКОН ,Москва,80000,130000,руб.,https://hh.ru/vacancy/36630285?query=Python
117,Data Scientist, Медia Партнерство Баінг ,Киев,,,,https://hh.ru/vacancy/37373426?query=Python
118,DevOps Engineer, Postuf ,Москва,150000,250000,руб.,https://hh.ru/vacancy/37157884?query=Python
119,Python developer / Python разработчик,АО НИК ,Санкт-Петербург,,,,https://hh.ru/vacancy/37345727?query=Python
120,Преподаватель по Python (создание приложений), Championika Digital (ИП Феоктистов Дмитрий Игоревич ) ,Ульяновск,,,,https://hh.ru/vacancy/37157670?query=Python
121,Senior Python-разработчик,ООО АвтоЭксперт ,Санкт-Петербург,,200000,руб.,https://hh.ru/vacancy/37386936?query=Python
122,Senior Software Engineer (Python),ООО Giant,Санкт-Петербург,,,,https://hh.ru/vacancy/37314011?query=Python
123,Senior Product / Data Analyst, ManyChat ,Москва,200000,,руб.,https://hh.ru/vacancy/31648507?query=Python
124,Тестировщик, СофтТелематика ,Москва,80000,120000,руб.,https://hh.ru/vacancy/37213548?query=Python
125,Преподаватель программирования для детей и подростков (Алгоритмика),ИП Бидамбекова М.Б ,Нур-Султан,100000,400000,KZT,https://hh.ru/vacancy/37117154?query=Python
126,Data Engineer, BestDoctor ,Москва,160000,200000,руб.,https://hh.ru/vacancy/36409905?query=Python
127,Backend Developer (Python)," Wargaming, Saint Petersburg (Lesta Studio) ",Санкт-Петербург,,,,https://hh.ru/vacancy/37301075?query=Python
128,Data Scientist (Limassol), Easybrain ,Москва,,,,https://hh.ru/vacancy/37362533?query=Python
129,Специалист по тестированию ПО,ООО Фрештех ,Москва,,200000,руб.,https://hh.ru/vacancy/37214773?query=Python
130,Web разработчик (Frontend),ТОО SOMNIUM ,Нур-Султан,200000,500000,KZT,https://hh.ru/vacancy/37368662?query=Python
131,"Senior DevOps Engineer (Belgrade, Serbia)", Compstak Inc,Москва,5000,7000,USD,https://hh.ru/vacancy/37400339?query=Python
132,Разработчик Python, ИнПлат ,Москва,,,,https://hh.ru/vacancy/36711877?query=Python
133,Data Engineer,ООО Неолаб-Нск ,Новосибирск,60000,110000,руб.,https://hh.ru/vacancy/37016147?query=Python
134,Kotlin python swift разработчик, InterGroup ,Новосибирск,15000,230000,руб.,https://hh.ru/vacancy/37115456?query=Python
135,Perl/python программист,ИП Тютлин А.А. ,Казань,20000,60000,руб.,https://hh.ru/vacancy/37166815?query=Python
136,Программист,ООО Атмосферика ,Москва,60000,150000,руб.,https://hh.ru/vacancy/37000256?query=Python
137,PHP-разработчик, Vilesse ,Санкт-Петербург,140000,200000,руб.,https://hh.ru/vacancy/37393305?query=Python
138,Trainee Python Developer, Aimprosoft ,Харьков,,,,https://hh.ru/vacancy/37113159?query=Python
139,Разработчик Python 2.7 (3.Х), СБСОФТ ,Москва,,,,https://hh.ru/vacancy/36990983?query=Python
140,Инженер-программист,ООО Вест-Тер СПб ,Санкт-Петербург,50000,100000,руб.,https://hh.ru/vacancy/37261651?query=Python
141,QA Engineer/Тестировщик ПО, SkyTech Solutions ,Москва,150000,,руб.,https://hh.ru/vacancy/37152954?query=Python
142,Специалист по тестированию web-приложений/инженер-тестировщик, Доминион ,Самара,40000,60000,руб.,https://hh.ru/vacancy/37186597?query=Python
143,Программист Python Developer, НЛ Континент ,Новосибирск,,,,https://hh.ru/vacancy/36998942?query=Python
144,Системный администратор Linux / DevOps, Vilesse ,Санкт-Петербург,100000,150000,руб.,https://hh.ru/vacancy/37396546?query=Python
145,Data Scientist,ООО WhyHappen ,Москва,,,,https://hh.ru/vacancy/37045181?query=Python
146,Разработчик Python,ООО НТ Прогресс ,Москва,,,,https://hh.ru/vacancy/35871016?query=Python
147,Тестировщик ПО,ООО Авилекс ,Москва,,,,https://hh.ru/vacancy/37116627?query=Python
148,Middle Python developer, First_Line ,Санкт-Петербург,,,,https://hh.ru/vacancy/37070291?query=Python
149,Senior Python Developer, ДомКлик ,Москва,,,,https://hh.ru/vacancy/35469057?query=Python
150,Преподаватель Python в детскую школу программирования,ООО AGM group ,Санкт-Петербург,,,,https://hh.ru/vacancy/37117511?query=Python
151,Middle Python Developer,Иностр. п. Admitad ,Минск,,,,https://hh.ru/vacancy/37240471?query=Python
152,Senior Python Engineer, Spark Equation ,Санкт-Петербург,160000,210000,руб.,https://hh.ru/vacancy/37061689?query=Python
153,Senior QA Engineer (Web), NPBFX Limited ,Москва,100000,300000,руб.,https://hh.ru/vacancy/36493499?query=Python
154,Computational Chemist," Insilico Medicine, Inc ",Москва,,,,https://hh.ru/vacancy/37116729?query=Python
155,Инженер-программист С/C++ для встраиваемых систем (Разработчик C/C++),ООО Биганто ,Москва,140000,,руб.,https://hh.ru/vacancy/37084032?query=Python
156,Java разработчик,ООО Банк СКС ,Москва,180000,,руб.,https://hh.ru/vacancy/37107313?query=Python
157,ML Разработчик,ООО Первый Гипермаркет Мебели ,Челябинск,60000,100000,руб.,https://hh.ru/vacancy/37177888?query=Python
158,Python Developer for Build System Team, Cloud Linux ,Харьков,,,,https://hh.ru/vacancy/36941849?query=Python
159,Senior Python developer (RiskEngine), Deutsche Bank Technology Center ,Москва,220000,,руб.,https://hh.ru/vacancy/37372568?query=Python
160,Инженер по автоматизации тестирования / Python разработчик,ООО Основа Лаб ,Москва,,,,https://hh.ru/vacancy/37169502?query=Python
161,Django разработчик, CHECKME.RU ,Москва,,,,https://hh.ru/vacancy/37144120?query=Python
162,Engineering Team Lead / Full Stack Developer,ООО AWWCOR ,Киев,4500,5500,USD,https://hh.ru/vacancy/37141897?query=Python
163,Machine Learning Research Engineer / Инженер отдела исследований и разработок, BOSCH ,Москва,,,,https://hh.ru/vacancy/36818130?query=Python
164,Middle / Senior Python Engineer (Fintech),ООО 4bill,Киев,,3000,USD,https://hh.ru/vacancy/36925216?query=Python
165,Разработчик / Инженер-программист (Python), NGENIX ,Москва,,230000,руб.,https://hh.ru/vacancy/36886946?query=Python
166,Manual QA Engineer, Luxoft ,Киев,,,,https://hh.ru/vacancy/37296451?query=Python
167,Риск-аналитик (Отдел интегрированного риск-менеджмента), АЛЬФА-БАНК ,Минск,,,,https://hh.ru/vacancy/37322942?query=Python
168,Аналитик - эконометрист / Data scientist (Junior/Middle),ООО БСТ Менеджмент-Консалтинг ,Москва,,,,https://hh.ru/vacancy/37172711?query=Python
169,Программист (удаленно), RESURS ,Москва,60000,80000,руб.,https://hh.ru/vacancy/36872662?query=Python
170,Data - engineer / SQL-разработчик, Эквид ,Ульяновск,130000,,руб.,https://hh.ru/vacancy/37395388?query=Python
171,"DevOps инженер (GNU/Linux, Mikrotik)",ООО Нейрогейминг Парк ,Москва,100000,130000,руб.,https://hh.ru/vacancy/37355374?query=Python
172,Teamlead/Senior Python разработчик, SUNLIGHT ,Москва,,,,https://hh.ru/vacancy/37222965?query=Python
173,Программист Computer Vision,ООО Аргуссофт ,Санкт-Петербург,70000,100000,руб.,https://hh.ru/vacancy/37163041?query=Python
174,Programming intern," Wargaming, Saint Petersburg (Lesta Studio) ",Санкт-Петербург,,,,https://hh.ru/vacancy/36781142?query=Python
175,QA инженер - тестировщик,ООО Профессиональные Кадровые Решения ,Москва,70000,140000,руб.,https://hh.ru/vacancy/36935593?query=Python
176,Аналитик,ООО Доверенная среда ,Москва,110000,140000,руб.,https://hh.ru/vacancy/37142385?query=Python
177,Программист C++,ЗАО НОРСИ-ТРАНС ,Нижний,,,,https://hh.ru/vacancy/36876458?query=Python
178,Программист-Исследователь (RnD), Photo Lab ,Москва,100000,200000,руб.,https://hh.ru/vacancy/36929281?query=Python
179,"Web Developer / Frontend разработчик (Nuxt.js, Vue.js, Django)",ИП Бадаев Марат Ильвединович ,Москва,80000,130000,руб.,https://hh.ru/vacancy/37194543?query=Python
180,Системный инженер/DevOps,ООО Жить в Небе ,Санкт-Петербург,100000,140000,руб.,https://hh.ru/vacancy/37356880?query=Python
181,Team Lead Python Developer,ООО ЭНГРИ ,Москва,,250000,руб.,https://hh.ru/vacancy/37197397?query=Python
182,Embedded-разработчик, R2 Робототехника ,Новосибирск,40000,60000,руб.,https://hh.ru/vacancy/37141907?query=Python
183,Программист для создания и ведения обучающего курса по Python," Profi-internet, школа востребованных интернет-профессий ",Киев,1800,,USD,https://hh.ru/vacancy/36924386?query=Python
184,Backend-разработчик, FunBox ,Москва,90000,,руб.,https://hh.ru/vacancy/35629745?query=Python
185,Python developer,ООО Акронис-Инфозащита ,Москва,,,,https://hh.ru/vacancy/36297018?query=Python
186,CI Engineer, NetworkOptix ,Москва,4000,,USD,https://hh.ru/vacancy/27812469?query=Python
187,Младший сетевой инженер,ООО АйПильсин ,Москва,90000,,руб.,https://hh.ru/vacancy/37372280?query=Python
188,Разработчик / Инженер-программист (Python), NGENIX ,Санкт-Петербург,,200000,руб.,https://hh.ru/vacancy/36970511?query=Python
189,Senior Backend Developer (PHP), Professional Staff Recruitment ,Киев,4500,5000,USD,https://hh.ru/vacancy/37332535?query=Python
190,Fullstack developer (middle),ООО Инноскрипта Интернешнл ,Санкт-Петербург,120000,180000,руб.,https://hh.ru/vacancy/37172117?query=Python
191,Full-Stack Web-Developer (Python / Odoo), NPBFX Limited ,Москва,100000,200000,руб.,https://hh.ru/vacancy/34649894?query=Python
192,Старший научный сотрудник (статистическая физика и биоинформатика), Наталья Мирская,Москва,180000,200000,руб.,https://hh.ru/vacancy/37402527?query=Python
193,Middle/Senior data scientist (fraud prevention),ООО КИБЕРТОНИКА ,Москва,140000,220000,руб.,https://hh.ru/vacancy/36991107?query=Python
194,PHP-разработчик, Vilesse ,Москва,140000,200000,руб.,https://hh.ru/vacancy/37415018?query=Python
195,Junior Data Engineer, Plarium ,Краснодар,,,,https://hh.ru/vacancy/35378576?query=Python
196,Data Scientist, Plarium ,Краснодар,,,,https://hh.ru/vacancy/36023475?query=Python
197,Senior Python Developer,Иностр. п. Admitad ,Минск,,,,https://hh.ru/vacancy/37396808?query=Python
198,Frontend Javascript разработчик, Vilesse ,Санкт-Петербург,150000,220000,руб.,https://hh.ru/vacancy/37395454?query=Python
199,Middle / Senior Python разработчик,ООО Айтаргет ,Москва,,,,https://hh.ru/vacancy/37227501?query=Python
200,Backend - разработчик,ООО ГридПоинт Дайнамикс ,Москва,,,,https://hh.ru/vacancy/37356315?query=Python
201,Бэкенд-разработчик, FunBox ,Санкт-Петербург,,,,https://hh.ru/vacancy/33669042?query=Python
202,Ведущий разработчик PHP/Python (team lead),ООО Виртуальный офис ,Краснодар,150000,,руб.,https://hh.ru/vacancy/37246396?query=Python
203,Специалист Управления по работе с данными, АЛЬФА-БАНК ,Минск,,,,https://hh.ru/vacancy/36661525?query=Python
204,Аналитик по работе с данными, Хэндисофт ,Москва,,,,https://hh.ru/vacancy/37208452?query=Python
205,Стажер (Голосовая Биометрия), Inca Digital Securities ,Санкт-Петербург,35000,35000,руб.,https://hh.ru/vacancy/37379802?query=Python
206,"GFN Software Engineer - Gaming (Python, C++)", NVIDIA ,Москва,,,,https://hh.ru/vacancy/36922412?query=Python
207,Quantitative Researcher (Trader), Alber Blanc ,Москва,,10000,EUR,https://hh.ru/vacancy/37029685?query=Python
208,Программист Go,ООО Прикладные технологии ,Екатеринбург,50000,150000,руб.,https://hh.ru/vacancy/37018880?query=Python
209,Quantitative Researcher (Deep Research), WorldQuant ,Москва,,,,https://hh.ru/vacancy/37374211?query=Python
210,Unity/C#/.NET/ программист, НПО Желдоравтоматизация ,Санкт-Петербург,120000,150000,руб.,https://hh.ru/vacancy/37286568?query=Python
211,Бэкенд-разработчик, FunBox ,Москва,,,,https://hh.ru/vacancy/33632674?query=Python
212,Cтажёр-разработчик автоматизированных тестов, a1qa ,Минск,,,,https://hh.ru/vacancy/21015438?query=Python
213,Инженер-программист (full stack),ООО МСН Телеком ,Москва,150000,,руб.,https://hh.ru/vacancy/37014924?query=Python
214,"FullStack Developer (Python, JS)", ДомКлик ,Москва,,,,https://hh.ru/vacancy/37030410?query=Python
215,Программист по созданию и ведению обучающего курса по Python," Profi-internet, школа востребованных интернет-профессий ",Москва,150000,,руб.,https://hh.ru/vacancy/36906276?query=Python
216,Ведущий разработчик ПО в области облачных технологий,ООО Прогматик Лаб ,Москва,250000,,руб.,https://hh.ru/vacancy/37111259?query=Python
217,Аналитик, Студия Кефир ,Москва,,,,https://hh.ru/vacancy/36202551?query=Python
218,Python Developer, Cloud Linux ,Санкт-Петербург,,,,https://hh.ru/vacancy/36752074?query=Python
219,Team Lead/Python developer,Иностр. п. Admitad ,Минск,,,,https://hh.ru/vacancy/37396817?query=Python
220,Программист-алгоритмист по обработке изображений и компьютерному зрению,ООО Биганто ,Москва,160000,,руб.,https://hh.ru/vacancy/37083764?query=Python
221,Frontend-разработчик,ООО ГридПоинт Дайнамикс ,Москва,,,,https://hh.ru/vacancy/37356296?query=Python
222,Data Engineer, BGSoft ,Минск,,,,https://hh.ru/vacancy/37078105?query=Python
223,Ведущий методист курса программирования на Python, Island Weddings Consultants,Санкт-Петербург,45000,100000,руб.,https://hh.ru/vacancy/37312338?query=Python
224,Разработчик WEB-приложений JS/Python,АО Эшелон-Северо-Запад ,Санкт-Петербург,,,,https://hh.ru/vacancy/37334558?query=Python
225,Senior DevOps engineer,ООО КардПэй ,Санкт-Петербург,,200000,руб.,https://hh.ru/vacancy/37399484?query=Python
226,Python Developer, Cloud Linux ,Киев,,,,https://hh.ru/vacancy/36752075?query=Python
227,Программист,"ООО Вектор, г. Москва ",Одинцово,40000,400000,руб.,https://hh.ru/vacancy/36996754?query=Python
228,Junior Linux DevOps Engineer/intern, HUAWEI ,Москва,,,,https://hh.ru/vacancy/37274639?query=Python
