,position,company,location,min_salary,max_salary,currency,link
1216,Data Scientist,ООО Компания ТрэйдСофт ,Киров,,,,https://hh.ru/vacancy/37092576?query=Python
1217,Инженер по автоматизации тестирования (Python), Тинькофф ,Москва,,,,https://hh.ru/vacancy/37386847?query=Python
1218,System administrator Linux, mfms° ,Москва,,,,https://hh.ru/vacancy/36122045?query=Python
1219,"Программист C/С++ (серверное ПО, обработка медиа)", Spirit Corp ,Москва,,,,https://hh.ru/vacancy/36989419?query=Python
1220,Machine Learning Engineer,ООО Техностар ,Санкт-Петербург,,,,https://hh.ru/vacancy/35715784?query=Python
1221,Веб-аналитик/Старший веб-аналитик, СИТИЛИНК ,Москва,,,,https://hh.ru/vacancy/37397769?query=Python
1222,QA automation engineer, КОРУС Консалтинг СНГ ,Москва,,180000,руб.,https://hh.ru/vacancy/36638697?query=Python
1223,Python developer, Лаборатория Касперского ,Москва,,,,https://hh.ru/vacancy/36679925?query=Python
1224,Главный специалист Отдела серверных решений (DevOps)," «РОСБАНК, Societe Generale Group», с опытом работы ",Москва,,,,https://hh.ru/vacancy/34558594?query=Python
1225,Data scientist (аналитик/ моделист), Star-staff ,Москва,,,,https://hh.ru/vacancy/37402692?query=Python
1226,Системный администратор,ИП Борисов К.Ю ,Ижевск,45000,,руб.,https://hh.ru/vacancy/37399014?query=Python
1227,Devops engineer, ПРАВО.РУ ,Самара,,,,https://hh.ru/vacancy/37080613?query=Python
1228,Инженер отдела технической поддержки сетей связи,АО Связьтранснефть ,Новороссийск,33000,48000,руб.,https://hh.ru/vacancy/37400700?query=Python
1229,Python разработчик SberDevices, Сбербанк для начинающих ,Москва,,,,https://hh.ru/vacancy/36286016?query=Python
1230,Эксперт в Наукометрический центр, Национальный исследовательский университет «Высшая школа экономики» ,Москва,,,,https://hh.ru/vacancy/33862446?query=Python
1231,"Tech Lead with Python Experience, Financial Software Solutions", DataArt ,Москва,,,,https://hh.ru/vacancy/37167260?query=Python
1232,Специалист по тестированию ПО (Quality Control), Группа Компаний Астрал ,Калуга,,,,https://hh.ru/vacancy/34877975?query=Python
1233,"Team Lead (C++, Python)", БЦ Этажи ,Воронеж,100000,,руб.,https://hh.ru/vacancy/35807594?query=Python
1234,Computer Vision & Parallel Computing Specialist, HUAWEI ,Нижний,,,,https://hh.ru/vacancy/36638860?query=Python
1235,MIddle Data Analyst / Scientist," Компания «СПОРТМАСТЕР», SM Lab ",Москва,,,,https://hh.ru/vacancy/37190219?query=Python
1236,Аналитик в Медиасервисы, Яндекс ,Москва,,,,https://hh.ru/vacancy/37393798?query=Python
1237,Программист Python (Middle), Открытые Технологии ,Москва,120000,180000,руб.,https://hh.ru/vacancy/36919115?query=Python
1238,Финансовый аналитик, BELUGA GROUP. Алкогольное направление. Офис ,Москва,,,,https://hh.ru/vacancy/37390112?query=Python
1239,Middleware Developer (C/C++/Python/Golang), Virtuozzo ,Москва,,,,https://hh.ru/vacancy/37400087?query=Python
1240,Инженер информационной безопасности МТС.WebSSO,"ПАО «МТС»,IT ",Москва,,,,https://hh.ru/vacancy/36852018?query=Python
1241,Программист С++,ООО Видеоинтеллект ,Дубна,,,,https://hh.ru/vacancy/37400471?query=Python
1242,Аналитик данных," Ароматный мир, винные супермаркеты ",Санкт-Петербург,,90000,руб.,https://hh.ru/vacancy/34947982?query=Python
1243,QA engineer (нагрузочное тестирование ), Открытая Мобильная Платформа ,Москва,,,,https://hh.ru/vacancy/36086664?query=Python
1244,Системный администратор Linux (Zabbix), Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве ,Москва,,,,https://hh.ru/vacancy/37044252?query=Python
1245,QA-Engineer, InfiNet Wireless ,Екатеринбург,,,,https://hh.ru/vacancy/35441806?query=Python
1246,Python-разработчик (Senior), РБК ,Москва,,,,https://hh.ru/vacancy/36806796?query=Python
1247,Web-аналитик, Сантехника-Онлайн ,Москва,,,,https://hh.ru/vacancy/37318158?query=Python
1248,Системный администратор,ООО Кит24 ,Оренбург,25000,,руб.,https://hh.ru/vacancy/37392264?query=Python
1249,Программист Python, Inline Telecom Solutions ,Москва,,,,https://hh.ru/vacancy/36951366?query=Python
1250,Senior Python developer, Bell Integrator ,Москва,,,,https://hh.ru/vacancy/37394789?query=Python
1251,Специалист технической поддержки / Support Engineer (Level 2), Devexperts ,Санкт-Петербург,,,,https://hh.ru/vacancy/22940634?query=Python
1252,Старший web-аналитик," Петрович, Строительный Торговый Дом ",Санкт-Петербург,,,,https://hh.ru/vacancy/36216492?query=Python
1253,Инженер-программист офисного ПО на C++ (GTK/Qt)," Русские базовые информационные технологии, Научно-производственное объединение ",Москва,,,,https://hh.ru/vacancy/36999778?query=Python
1254,Аналитик в области информационной безопасности/ Security researcher, НеоБИТ ,Санкт-Петербург,90000,170000,руб.,https://hh.ru/vacancy/35408492?query=Python
1255,Веб-аналитик,ООО ПИК-РЕМОНТ ,Москва,,,,https://hh.ru/vacancy/37149593?query=Python
1256,Главный аналитик отдела развития серверной инфраструктуры, Банк ВТБ (ПАО) ,Москва,,,,https://hh.ru/vacancy/37080246?query=Python
1257,QA automation,"ПАО МегаФон, IT ",Екатеринбург,,85000,руб.,https://hh.ru/vacancy/37395864?query=Python
1258,QA automation,"ПАО МегаФон, IT ",Самара,,85000,руб.,https://hh.ru/vacancy/37395865?query=Python
1259,PHP-разработчик,Общ. орг. Центр анализа и расследования кибер атак ,Нур-Султан,,,,https://hh.ru/vacancy/37376484?query=Python
1260,Веб-аналитик (в медиа-холдинг),ООО ФёстМедиаИнвест ,Москва,70000,100000,руб.,https://hh.ru/vacancy/37395144?query=Python
1261,Machine Vision & Industrial Measurement Specialist, HUAWEI ,Нижний,,,,https://hh.ru/vacancy/36638979?query=Python
1262,Специалист по анализу защищенности АСУ ТП, Positive Technologies ,Москва,,,,https://hh.ru/vacancy/37248609?query=Python
1263,Системный администратор-разработчик Linux / DevOps,ООО РДП.РУ ,Москва,,,,https://hh.ru/vacancy/37400980?query=Python
1264,Аналитик, Тинькофф ,Москва,,,,https://hh.ru/vacancy/37398142?query=Python
1265,PHP-разработчик (CRM),ООО БОСТОНДЖИН ,Москва,,,,https://hh.ru/vacancy/37395979?query=Python
1266,Ведущий системный администратор Zabbix, Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве ,Москва,,,,https://hh.ru/vacancy/37044132?query=Python
1267,Инженер по тестированию (backend), ivi ,Москва,90000,,руб.,https://hh.ru/vacancy/37352823?query=Python
1268,Технический аналитик / Аналитик BI, ivi ,Москва,120000,180000,руб.,https://hh.ru/vacancy/37388360?query=Python
1269,Разработчик микросервисов, НеоБИТ ,Санкт-Петербург,,,,https://hh.ru/vacancy/37122060?query=Python
1270,Системный администратор/инженер Linux (виртуализация)," Русские базовые информационные технологии, Научно-производственное объединение ",Москва,,,,https://hh.ru/vacancy/34161416?query=Python
1271,Разработчик Python / CV,ООО Коннектом ,Москва,125000,150000,руб.,https://hh.ru/vacancy/37391564?query=Python
1272,WEB-программист (cтажер),ООО Технокорп ,Хабаровск,25000,,руб.,https://hh.ru/vacancy/37393473?query=Python
1273,Big Data Recommendation Platform Engineer, HUAWEI ,Нижний,,,,https://hh.ru/vacancy/36611781?query=Python
1274,Teamlead Python (Django)/архитектор,ООО Джи Эф Си ,Казань,,,,https://hh.ru/vacancy/37107020?query=Python
1275,Data Scientist in Data & Analytics Lab," PwC, Департамент бизнес-консультирования ",Москва,,,,https://hh.ru/vacancy/37395163?query=Python
1276,Старший инженер по тестированию/ Senior software QA Engineer,ООО КНС ГРУПП ,Санкт-Петербург,,,,https://hh.ru/vacancy/37400109?query=Python
1277,Инженер по информационной безопасности,ООО Страховой брокер Сбербанка ,Москва,,,,https://hh.ru/vacancy/36879276?query=Python
1278,Системный администратор Linux, Телеком.ру ,Ульяновск,,,,https://hh.ru/vacancy/36643138?query=Python
1279,Специалист технической поддержки / Support Engineer (Level 2), Devexperts ,Ростов-на-Дону,,,,https://hh.ru/vacancy/35765159?query=Python
1280,Системный администратор Linux,ООО ОМИКРОН ,Краснодар,35000,,руб.,https://hh.ru/vacancy/37322426?query=Python
1281,Ведущий тест-инженер (нагрузочное тестирование), Инфосистемы Джет ,Москва,,,,https://hh.ru/vacancy/33841903?query=Python
1282,QA Engineer (Middle), O.Vision ,Санкт-Петербург,100000,150000,руб.,https://hh.ru/vacancy/37401334?query=Python
1283,Системный инженер, Открытые Технологии ,Екатеринбург,40000,50000,руб.,https://hh.ru/vacancy/37075444?query=Python
1284,Data Engineer,"ПАО «МТС»,IT ",Москва,,,,https://hh.ru/vacancy/34870277?query=Python
1285,Продуктовый аналитик в Яндекс.Дзен, Яндекс ,Москва,,,,https://hh.ru/vacancy/37391991?query=Python
1286,Риск-менеджер," ДОХОДЪ, Инвестиционная Компания ",Санкт-Петербург,,,,https://hh.ru/vacancy/37391823?query=Python
1287,Специалист по информационной безопасности," Миррико, Группа Компаний ",Казань,,,,https://hh.ru/vacancy/37399605?query=Python
1288,DevOps инженер в ИнПлат Технологии," Mail.Ru Group, E-commerce ",Москва,,,,https://hh.ru/vacancy/37401981?query=Python
1289,Главный системный администратор,ПАО Промсвязьбанк ,Самара,,,,https://hh.ru/vacancy/37400734?query=Python
1290,Ведущий сетевой инженер, ЭР-Телеком ,Москва,104400,104400,руб.,https://hh.ru/vacancy/37324867?query=Python
1291,Инженер-тестировщик,ООО Прософт-Системы ,Екатеринбург,40000,60000,руб.,https://hh.ru/vacancy/35853084?query=Python
1292,"Python разработчик, SberDevices", Сбербанк для экспертов ,Москва,,,,https://hh.ru/vacancy/36795277?query=Python
1293,Hadoop/Spark developer," Иннотехнум, Группа компаний ",Москва,,,,https://hh.ru/vacancy/37399001?query=Python
1294,Разработчик актуарного программного обеспечения/DevOps, PPF Страхование жизни ,Москва,,,,https://hh.ru/vacancy/36389104?query=Python
1295,Data аналитик/Старший data аналитик, СИТИЛИНК ,Москва,,,,https://hh.ru/vacancy/37397786?query=Python
1296,Technical Support Specialist, Devexperts ,Ростов-на-Дону,,,,https://hh.ru/vacancy/34628457?query=Python
1297,Ruby Full-stack разработчик, RnD Soft ,Ростов-на-Дону,,,,https://hh.ru/vacancy/33367190?query=Python
1298,DevOps specialist, Ready for Sky ,Санкт-Петербург,,,,https://hh.ru/vacancy/36492805?query=Python
1299,Data miner," Beeline, ТМ ",Алматы,,,,https://hh.ru/vacancy/36627507?query=Python
1300,Junior Python разработчик,ООО МедРейтинг ,Краснодар,40000,,руб.,https://hh.ru/vacancy/37032573?query=Python
1301,Senior Full-stack разработчик,ООО Шина ,Москва,1000,,USD,https://hh.ru/vacancy/37396858?query=Python
1302,Программист 1С,АО АРБИС ,Архангельск,21000,45000,руб.,https://hh.ru/vacancy/33592962?query=Python
1303,Старший инженер программист Python (back-end),АО РТИ ,Москва,,,,https://hh.ru/vacancy/36679966?query=Python
1304,Text To Speech Algorithm Senior Engineer, HUAWEI ,Нижний,,,,https://hh.ru/vacancy/35628004?query=Python
1305,Программист (поддержка базы данных),ТОО Центр квалификации специалистов транспорта ,Алматы,180000,,KZT,https://hh.ru/vacancy/37390537?query=Python
1306,Ведущий специалист отдела мониторинга серверной ИТ-инфраструктуры, Сибирская генерирующая Компания ,Красноярск,60000,,руб.,https://hh.ru/vacancy/36658850?query=Python
1307,Бизнес-аналитик, Okko ,Москва,,,,https://hh.ru/vacancy/36526513?query=Python
1308,Начальник отдела математического моделирования, Банк Открытие ,Москва,,,,https://hh.ru/vacancy/37392291?query=Python
1309,Системный администратор,Крупный холдинг ,Санкт-Петербург,80000,100000,руб.,https://hh.ru/vacancy/36279471?query=Python
1310,Программист-аналитик /Information security researcher&developer, НеоБИТ ,Санкт-Петербург,,,,https://hh.ru/vacancy/35408506?query=Python
1311,Начальник управления актуарных расчетов,ООО Зетта Страхование ,Москва,,,,https://hh.ru/vacancy/34003660?query=Python
1312,Ведущий инженер по тестированию (backend), ivi ,Москва,,,,https://hh.ru/vacancy/35356764?query=Python
1313,Инженер технической поддержки, X5 RETAIL GROUP ,Москва,,,,https://hh.ru/vacancy/37400546?query=Python
1314,Администратор СУБД Oracle,ООО Ростелеком Информационные Технологии ,Москва,,,,https://hh.ru/vacancy/36915264?query=Python
1315,DevOps инженер,ТОО Микрофинансовая организация KMF(КМФ) ,Алматы,200000,600000,KZT,https://hh.ru/vacancy/37391710?query=Python
1316,Исследователь в области кибербезопасности, НеоБИТ ,Санкт-Петербург,,,,https://hh.ru/vacancy/35408478?query=Python
1317,Technical Engineer, Devexperts ,Санкт-Петербург,,,,https://hh.ru/vacancy/36025248?query=Python
1318,Старший инженер по кибербезопасности (Отдел розничных продуктов), Сбербанк для экспертов ,Москва,,,,https://hh.ru/vacancy/37400522?query=Python
1319,Системный администратор,ООО УралТЭП ,Екатеринбург,,,,https://hh.ru/vacancy/37388223?query=Python
1320,Ведущий программист микроконтроллеров,ООО Ойл ,Казань,,75000,руб.,https://hh.ru/vacancy/35981538?query=Python
1321,Аналитик информационной безопасности, Инфосистемы Джет ,Москва,,,,https://hh.ru/vacancy/37399563?query=Python
1322,Аналитик-Биолог,ООО БОСТОНДЖИН ,Москва,,,,https://hh.ru/vacancy/37393588?query=Python
1323,Разработчик систем DWH/ETL, Яндекс ,Москва,,,,https://hh.ru/vacancy/37241128?query=Python
1324,Java-разработчик аналитической платформы, Pixonic ,Москва,,,,https://hh.ru/vacancy/36921333?query=Python
1325,Аналитик-разработчик в Медиасервисы, Яндекс ,Москва,,,,https://hh.ru/vacancy/37241871?query=Python
1326,Ведущий аналитик в Юлу," Mail.Ru Group, Другое ",Москва,,,,https://hh.ru/vacancy/36613774?query=Python
1327,Разработчик Python, Neuro.net ,Нижний,120000,,руб.,https://hh.ru/vacancy/37384932?query=Python
1328,System Administrator/DevOps, Piano ,Самара,,,,https://hh.ru/vacancy/37398006?query=Python
1329,Инженер по автоматизации тестирования (web), ivi ,Москва,,,,https://hh.ru/vacancy/36811823?query=Python
1330,Старший инженер DevOps, X5 RETAIL GROUP ,Москва,,,,https://hh.ru/vacancy/36445787?query=Python
1331,Программист-тестировщик (производительность мобильных приложений),ООО Тензор ,Новосибирск,50000,76000,руб.,https://hh.ru/vacancy/35756805?query=Python
1332,Data Scientist в Predictive Analytic Solutions," Mail.Ru Group, Другое ",Москва,,,,https://hh.ru/vacancy/37401988?query=Python
1333,Web аналитик / Power BI аналитик, TWIGA Communication Group ,Москва,100000,150000,руб.,https://hh.ru/vacancy/36050568?query=Python
1334,Исследователь программного обеспечения,АО Информтехника ,Москва,,,,https://hh.ru/vacancy/32759493?query=Python
1335,Ведущий инженер по тестированию,ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ) ,Москва,,250000,руб.,https://hh.ru/vacancy/36057559?query=Python
1336,Разработчик баз данных,ООО Сириус ,Томск,50000,,руб.,https://hh.ru/vacancy/36652878?query=Python
1337,Middle/Senior Python Developer, Лаборатория Касперского ,Москва,,,,https://hh.ru/vacancy/37126451?query=Python
1338,Системный администратор, Энергомашкомплект ,Саратов,,,,https://hh.ru/vacancy/35009493?query=Python
1339,Тестировщик программного обеспечения, Inline Telecom Solutions ,Москва,,,,https://hh.ru/vacancy/35809917?query=Python
1340,Педагог дополнительного образования (Программирование на Python) (г.Кириши), ГАПОУ ЛО Киришский Политехнический Техникум ,Бокситогорск,,,,https://hh.ru/vacancy/37081831?query=Python
